arch,model,dataset,lmbda,test_date,bpp,psnr_iq,msssim_iq,psnr_amp,sqnr_amp,msssim_amp,mae_phase,mse_nrcs,enc_time,dec_time,total_kmac_per_px,enc_kmac_per_px,dec_kmac_per_px,ga_kmac_per_px,ha_kmac_per_px,gs_kmac_per_px,hs_kmac_per_px,total_params,energy_1,energy_2,energy_3,energy_4
aht,benchmarking_sar_mods,sandia,0.0018,20260505,6.760817307692308e-05,20.49163691421299,0.8740609288215637,14.495405434665546,0.0757293701171875,0.29653477668762207,2.3023574352264404,0.010012959130108356,0.42651820182800293,0.1859591007232666,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,1.9386485291761346e-05,1.6756523109506816e-05,9.540148312225938e-06,9.726984444569098e-07
aht,benchmarking_sar_mods,sandia,0.0035,20260505,0.6686298076923077,29.211139269082537,0.9594007730484009,26.26554324926846,9.085994720458984,0.9430918097496033,0.8926194310188293,0.000978353200480342,0.4261791706085205,0.23261046409606934,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,1.9252138137817383,0.7455505132675171,0.3026789426803589,0.11836247146129608
aht,benchmarking_sar_mods,sandia,0.0067,20260505,0.9505746694711539,30.62737623791826,0.9672879576683044,27.760944221213563,11.048928260803223,0.9673337340354919,0.7184945940971375,0.0007604697602801025,0.41460704803466797,0.23765158653259277,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,4.661080360412598,1.7202017307281494,0.6819261312484741,0.3239958584308624
aht,benchmarking_sar_mods,sandia,0.013,20260505,1.2385892427884615,31.390907844064245,0.9705390930175781,28.551615823384708,12.495519638061523,0.9785822033882141,0.6065776944160461,0.0007116766064427793,0.4262428283691406,0.24134302139282227,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,10.684207916259766,3.6743361949920654,1.4844067096710205,0.858265221118927
aht,benchmarking_sar_mods,sandia,0.025,20260505,1.4853891225961537,31.833736346501826,0.9722381830215454,29.03837976458999,13.376397132873535,0.9832629561424255,0.5518830418586731,0.0006523947231471539,0.4197366237640381,0.2497541904449463,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,24.222198486328125,7.629960060119629,2.9755938053131104,1.2661871910095215
aht,benchmarking_sar_mods,sandia,0.0483,20260505,1.7535531850961539,31.909249622494226,0.9729204773902893,29.17037454260289,13.933667182922363,0.9857996702194214,0.5103229284286499,0.0006425208994187415,0.4299805164337158,0.25615477561950684,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,57.84038543701172,15.207618713378906,5.497045040130615,6.330877780914307
aht,benchmarking,nga,0.0018,20260521,0.33295362744325346,22.06691807816203,0.7738597989082336,18.623560130572343,5.290050506591797,0.7584243416786194,1.3984347581863403,0.006330759730190039,1.4515914916992188,1.357395887374878,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,1.4784775972366333,0.27713823318481445,0.1756472885608673,0.08017123490571976
aht,benchmarking,nga,0.0035,20260521,0.5188970385403531,24.205196934697895,0.8600596785545349,21.255534605883707,7.839950084686279,0.8441526293754578,1.1176921129226685,0.0036313608288764954,1.4425122737884521,1.3740246295928955,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,1.9728755950927734,0.6094207763671875,0.37481889128685,0.15389691293239594
aht,benchmarking,nga,0.0067,20260521,0.7123814086144389,26.448833104102537,0.9134244918823242,23.681031895017107,10.260151863098145,0.90399169921875,0.8775684833526611,0.002147337654605508,1.4466273784637451,1.4220068454742432,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,1.732065200805664,1.0010031461715698,0.6655654907226562,0.4816267490386963
aht,benchmarking,nga,0.013,20260521,0.9315845927254098,28.586695907022435,0.9503560066223145,25.886334200479844,12.523702621459961,0.9407241344451904,0.6833534836769104,0.0013832574477419257,1.4672224521636963,1.4896941184997559,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,3.3593509197235107,1.835787296295166,1.2161085605621338,1.0038655996322632
aht,benchmarking,nga,0.025,20260521,1.150379541692938,30.475268259453408,0.9702891111373901,27.808031774345853,14.577235221862793,0.9622440934181213,0.542594850063324,0.000980535987764597,1.4410316944122314,1.4965813159942627,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,6.803341388702393,3.467923402786255,2.1490731239318848,1.933243751525879
aht,benchmarking,nga,0.0483,20260521,1.3700451460040983,32.1514468812062,0.9819744229316711,29.52061535182211,16.50904083251953,0.9758623242378235,0.43517011404037476,0.0007422863855026662,1.4562678337097168,1.4977598190307617,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,14.181234359741211,6.377439975738525,3.7680418491363525,3.5772247314453125
aht,benchmarking,sandia,0.0018,20260521,6.760817307692308e-05,20.490383335703832,0.8740467429161072,14.560776792678157,0.28225159645080566,0.3290621340274811,2.611605167388916,0.01001221314072609,0.41394591331481934,0.2005174160003662,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,8.549421181669459e-06,4.670347379942541e-07,1.612788622651351e-07,1.1723998483148534e-07
aht,benchmarking,sandia,0.0035,20260521,0.21426908052884616,25.32410430543336,0.9258798360824585,21.837118612322076,4.119553089141846,0.8161180019378662,1.5159600973129272,0.002060412894934416,0.41809773445129395,0.21796536445617676,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,0.3606495261192322,0.14884687960147858,0.06293405592441559,0.0037196048069745302
aht,benchmarking,sandia,0.0067,20260521,0.3510779747596154,27.12465716042564,0.9429967999458313,23.85944324809696,5.678219318389893,0.874374270439148,1.3631833791732788,0.001192947500385344,0.4075171947479248,0.22718262672424316,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,0.74468594789505,0.31058892607688904,0.11894223093986511,0.04772571474313736
aht,benchmarking,sandia,0.013,20260522,0.5094200721153846,28.592876712146165,0.9540871381759644,25.531564998546816,7.373714447021484,0.9155277609825134,1.147611141204834,0.0008860484231263399,0.49155259132385254,0.231034517288208,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,1.4548146724700928,0.604455828666687,0.24141953885555267,0.12089461088180542
aht,benchmarking,sandia,0.025,20260522,0.6896747295673077,29.838781063667184,0.9617906212806702,26.905547220380683,8.984326362609863,0.94356369972229,0.9670315980911255,0.0007154162158258259,0.4154965877532959,0.23253989219665527,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,2.80682373046875,1.1303170919418335,0.49553388357162476,0.21618390083312988
aht,benchmarking,sandia,0.0483,20260522,0.8933143028846153,30.84305647221406,0.9669367074966431,27.975121821707422,10.465834617614746,0.9627137184143066,0.8176047801971436,0.000621150538790971,0.42053842544555664,0.23889899253845215,19.0035,10.5115,8.492,10.032,0.4795,6.672,1.82,3501523,5.391202449798584,2.06315541267395,1.077604055404663,0.5160930752754211
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.0008,20260628,0.4615070588351198,23.687173400388268,0.8605637550354004,20.91540337247406,7.832499027252197,0.8338955640792847,1.0877362489700317,0.004534211941063404,1.7103526592254639,1.6668972969055176,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.29997918009757996,0.23798729479312897,0.2313009351491928,0.25060397386550903
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.0017,20260628,0.9145637117749055,28.517833093271598,0.9552218317985535,25.821034162164164,12.486740112304688,0.9384300708770752,0.674877941608429,0.0015160024631768465,1.714695692062378,1.736175775527954,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,1.0541404485702515,1.1100118160247803,1.1348034143447876,1.0037612915039062
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.0033,20260628,1.402662702947667,32.964607024543355,0.9854125380516052,30.33093512015607,17.08139991760254,0.9783623218536377,0.4207644462585449,0.000611683411989361,1.7247130870819092,1.8010892868041992,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,5.000856399536133,4.190500736236572,4.801868438720703,3.5457589626312256
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.005,20260628,1.7168726109315888,35.40843369065009,0.9926771521568298,32.84338302689133,19.955402374267578,0.9886881113052368,0.30874383449554443,0.0004166531434748322,1.7293291091918945,1.8335864543914795,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,11.700528144836426,10.265336036682129,11.219533920288086,8.944375991821289
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.0067,20260628,1.9448587001497477,36.71918436457956,0.995549201965332,34.232285575803985,21.9296932220459,0.9928271174430847,0.24617929756641388,0.0003692092141136527,1.7271742820739746,1.8613624572753906,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,20.00115203857422,16.964458465576172,17.990489959716797,17.662799835205078
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.0083,20260628,2.0866351326056116,38.036801763431384,0.9967743158340454,35.59155851556096,23.326204299926758,0.9947935342788696,0.21131910383701324,0.0002640466555021703,1.9143381118774414,1.8866009712219238,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,31.733501434326172,26.760475158691406,28.803953170776367,24.883943557739258
sar-pact,g8_alpha1.0_gamma0.0_latentdct,nga,0.01,20260628,2.2665332154397855,37.75347048846213,0.9976502656936646,35.31622450746753,24.415552139282227,0.995849609375,0.18267375230789185,0.0003822790749836713,1.7416114807128906,1.9544413089752197,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,41.4063606262207,36.76948547363281,37.351070404052734,31.864805221557617
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.0625,20260628,0.40133270610025223,22.88201833781143,0.8436145782470703,20.35860813480308,7.523803234100342,0.813348650932312,1.1544106006622314,0.0054444423876702785,1.7223329544067383,1.6306216716766357,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.226801335811615,0.18334828317165375,0.17637893557548523,0.18979217112064362
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.125,20260628,0.8254403767339218,27.72049502398832,0.946246862411499,25.125996752577976,11.829821586608887,0.9293366074562073,0.736026406288147,0.0017297051381319761,1.7157089710235596,1.7278950214385986,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.8185540437698364,0.8708646893501282,0.884462833404541,0.7706059813499451
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.25,20260628,1.431871527230454,33.580658660410975,0.9876707792282104,30.971495162548656,17.795238494873047,0.981985867023468,0.38602423667907715,0.0005409447476267815,1.722137212753296,1.7873640060424805,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,5.376614570617676,4.524470806121826,5.096420764923096,3.772447109222412
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.375,20260628,1.872453302332913,36.95849091668474,0.9950971007347107,34.434828825865566,21.681047439575195,0.9923675060272217,0.25600987672805786,0.0002982714504469186,1.7601511478424072,1.8510375022888184,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,18.47341537475586,16.270071029663086,17.62599754333496,13.966142654418945
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.5,20260628,2.2289318647540983,38.86891323562328,0.9977982044219971,36.49148824054356,24.837343215942383,0.996289074420929,0.1779380440711975,0.00024717344786040485,1.7237484455108643,1.9504482746124268,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,45.007694244384766,37.702064514160156,40.337650299072266,39.457801818847656
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.6225,20260628,2.533542397343947,40.41476125722188,0.9988982677459717,38.16960764530462,27.6468448638916,0.9979804754257202,0.1292508989572525,0.0001943367678904906,1.84666109085083,1.9977073669433594,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,99.1794204711914,83.94438171386719,90.2272720336914,76.71263885498047
sar-pact,g8_alpha0.01_gamma0.0_latentdct,nga,0.75,20260628,2.74533577494483,40.14790878748214,0.9992415904998779,37.96145265099946,29.071413040161133,0.9983996152877808,0.10780367255210876,0.00023661417071707547,1.7303805351257324,2.0815067291259766,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,160.8419189453125,140.6403350830078,141.34092712402344,118.76268768310547
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.0008,20260629,9.765625e-05,20.491055368204943,0.8740532398223877,14.543248699386282,0.2278643697500229,0.3221953809261322,2.976101875305176,0.010012611746788025,0.46262478828430176,0.24604177474975586,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.0013415358262136579,0.001361939706839621,0.0014605659525841475,0.0017708046361804008
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.0016,20260629,0.42156325120192306,27.53995437394364,0.9486788511276245,24.4252610185773,6.829089164733887,0.8928439617156982,1.1448850631713867,0.0013248667819425464,0.4640960693359375,0.2711069583892822,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.2812151610851288,0.15872913599014282,0.26084738969802856,0.2457154095172882
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.0033,20260629,0.8271709735576923,30.94642871857602,0.9689324498176575,27.94634221866128,10.145898818969727,0.9542311429977417,0.828262209892273,0.0005915764486417174,0.4685826301574707,0.2913389205932617,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.9300000071525574,0.6138001084327698,0.901780366897583,0.8965397477149963
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.0067,20260630,1.290771484375,33.30797265118261,0.9779951572418213,30.367487995393205,13.111042976379395,0.9798016548156738,0.6013443470001221,0.000411331799114123,0.470836877822876,0.3044395446777344,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,3.3187315464019775,2.234102249145508,2.772545337677002,2.3087596893310547
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.0175,20260629,1.8998910757211538,34.677121213374576,0.9816601276397705,31.831699308896674,15.64611530303955,0.9908848404884338,0.456252783536911,0.0003329193277750164,0.5492901802062988,0.32347798347473145,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,12.008027076721191,11.25982666015625,10.177177429199219,10.194599151611328
sar-pact,g8_alpha1.0_gamma0.0_latentdct,sandia,0.03,20260629,2.240467247596154,34.96038004043119,0.9826774001121521,32.166006964544536,16.46800422668457,0.9928290247917175,0.4154742658138275,0.00031412907992489636,0.4724922180175781,0.32448577880859375,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,29.671232223510742,24.774513244628906,29.559814453125,20.64055824279785
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,0.0625,20260629,0.00011643629807692308,20.458680779911,0.8740454912185669,14.982844874017694,1.7410595417022705,0.39671310782432556,3.1186940670013428,0.009993460029363632,0.46494555473327637,0.24098420143127441,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.00020912328909616917,7.220058614620939e-05,6.112312257755548e-05,6.976201984798536e-05
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,0.125,20260629,0.40075871394230766,27.199394795890832,0.9471285343170166,24.38236164966863,7.44113826751709,0.8956236839294434,1.1531776189804077,0.001411266508512199,0.6164052486419678,0.29635119438171387,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.24673454463481903,0.1387171447277069,0.22669419646263123,0.20737400650978088
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,0.25,20260629,0.8195049579326923,30.86941350818065,0.968974232673645,28.066773922838095,10.529351234436035,0.9577769041061401,0.8271926045417786,0.0005884147831238806,0.5335252285003662,0.29697299003601074,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.8749105930328369,0.5823285579681396,0.8733341097831726,0.8456283807754517
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,0.5,20260630,1.3619103064903846,33.50440217253597,0.9789127111434937,30.655286953695015,13.733525276184082,0.98309326171875,0.5632232427597046,0.00039059686241671443,0.48317551612854004,0.3039889335632324,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,3.588778495788574,2.438960075378418,2.9330108165740967,2.5791850090026855
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,1.3125,20260629,2.089776141826923,35.15672984313396,0.9826024770736694,32.33887820637483,16.60264015197754,0.9929301738739014,0.4115247130393982,0.00029642644221894443,0.47232580184936523,0.31039929389953613,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,15.047130584716797,19.28182601928711,12.600275993347168,12.39468765258789
sar-pact,g8_alpha0.01_gamma0.0_latentdct,sandia,2.25,20260629,2.4269005408653848,35.30878991599664,0.9834754467010498,32.542539294511826,17.10068130493164,0.9939560294151306,0.3908556401729584,0.00028712410130538046,0.4785585403442383,0.3371562957763672,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,41.78751754760742,32.80905532836914,49.725589752197266,28.878263473510742
